"","X","week_start_date","total_cases","marginal_cases","cor_lengths","r_0_50","r_50_70","r_70_90","r_90_110","r_110_130","r_130_150","r_150_170","r_170_190","r_190_210","r_210_230","r_230_250","r_250_270","r_270_290","r_290_310","r_310_330","r_330_350","r_350_370","r_370_390","r_390_410","r_410_430","r_430_450","r_450_470","r_470_490","r_490_510","r_510_530","r_530_550","r_550_570","r_570_590","r_590_610","r_610_630","r_630_650","r_650_670","r_670_690","r_690_710","r_710_730","r_730_750","r_750_770","r_770_790","r_790_810","r_810_830","r_830_850","r_850_870","r_870_890","r_890_910","r_910_930","r_930_950","r_950_970","r_970_1000","next_week_marginal_cases","block","wave","wave_1","wave_2","region","mhhinc_tiers","same_tier","tier_diff_1","tier_diff_2","tier_diff_3","northeast","midwest","south"
"1",1,"2020-03-28",353484,0,80,0.443139340432589,0.235110503103152,0.124109416430951,0.179228133988403,0.0178142348960841,-0.113325947434274,-0.188994376778398,-0.246245641193999,-0.274735803624989,-0.285207982593717,-0.265612200174671,-0.248844510479354,-0.299901412292299,-0.168207973752104,-0.226643920705921,-0.079816667843226,-0.125138468682948,-0.113221834743859,-0.105668479341414,-0.186300143261805,-0.0771480182092527,-0.331468547898132,-0.243214114349121,-0.158898727461708,-0.361808514435073,-0.119378368958938,-0.309639188462349,-0.424101784754501,-0.470016599051932,-0.127726818125695,-0.39722477039756,-0.339030954600435,0.0234531402296199,-0.0592130484019845,0.0667710471477446,-0.067843020258063,0.283705812567977,0.13467847070086,0.22712446845585,0.514459386186131,0.544225805195868,0.632115516085841,0.518266235707233,0.113150687906917,-0.323882770269068,-0.279705513118745,-0.15500232958035,-0.256148689807503,779055,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"2",2,"2020-04-04",1132539,779055,80,0.608901781259759,0.473139618924638,0.228479127662435,0.187263705237925,0.0419991126794797,-0.0721309995717509,-0.295193001064342,-0.313513587299437,-0.391155147880564,-0.352426062969108,-0.408267708165705,-0.325362027257145,-0.331332380493574,-0.217430130348575,-0.289742477367916,-0.0406493591152377,-0.213691987502075,-0.183847236751908,-0.239857236090998,-0.222587039867101,-0.215039333351798,-0.41188085122969,-0.370315860412804,-0.20336176642424,-0.334637839379769,-0.184403254283872,-0.286113452240312,-0.44723583285954,-0.542091055520963,-0.211541913422325,-0.277459495623447,-0.370104147835987,-0.14769173836855,-0.266557096798788,-0.0965274426171271,0.0163563777742172,0.251298500063606,0.126067792461488,0.365243025166769,0.528757102847315,0.690329334110269,0.508735143579593,0.244133567324369,0.0132123415160469,-0.338544724265585,-0.218212320800713,-0.206886840063614,-0.210658758730182,1199774,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"3",3,"2020-04-11",2332313,1199774,100,0.699917261115879,0.649445027736995,0.313172656283723,0.173209748839606,0.0421135711723752,-0.0160158472475187,-0.304451857924229,-0.348774618802636,-0.495782109652695,-0.447842322353073,-0.526682052283502,-0.441789448936704,-0.409998396472128,-0.291622397600205,-0.354055873305086,-0.118882473665197,-0.274018519156371,-0.26619193309049,-0.353922164174784,-0.291968613537433,-0.284755886935498,-0.394838770254409,-0.405934892877257,-0.262524892871577,-0.284391719435748,-0.256467768410294,-0.256460130163924,-0.458776617368831,-0.476401623879833,-0.249585392792691,-0.235294996725316,-0.271327133004756,-0.132351492039828,-0.290234818806909,-0.00724430971756178,0.161273524193536,0.329154116031717,0.15693284352213,0.39993848665621,0.338779840056987,0.592934197991783,0.368750517114677,0.0233260200883276,-0.0474401059363612,-0.339127424121567,-0.284594417875838,-0.269107009934017,-0.175735802033917,1165823,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"4",4,"2020-04-18",3498136,1165823,80,0.649815416176273,0.626624269639976,0.226424306060227,0.0846672202355399,-0.00555388101401983,-0.0426051541862574,-0.258309109246541,-0.263191170761624,-0.397357711191807,-0.427241769396137,-0.459743740571496,-0.311171016475429,-0.304770640391946,-0.0913313560687697,-0.226677502531256,0.0526629013139976,-0.161888693003272,-0.206967195011312,-0.389965861583388,-0.26680347632903,-0.344262254327666,-0.26344418474666,-0.507528866175532,-0.392940991164683,-0.433893593320004,-0.324881997953678,-0.42444237479242,-0.453522880047131,-0.494488286823345,-0.277595130966832,0.0633987071621283,-0.296131123084564,-0.170221466524852,-0.324409028602688,-0.112905173644008,0.13205668788503,0.171886301418474,0.0789166823466088,0.197476198789741,0.293792548045486,0.355903058673948,0.269169394841281,-0.0590659963279488,-0.179901330198199,-0.455352650744552,-0.248651616662798,-0.282622925186179,-0.123823086091555,1170755,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"5",5,"2020-04-25",4668891,1170755,80,0.500563694890256,0.539459647357729,0.109178215546893,-0.0212613588725993,-0.0741441495099687,-0.0286198788049995,-0.240948441531586,-0.288890154052529,-0.3281257427057,-0.412056173792626,-0.332725115893406,-0.191363934693574,-0.209080159222367,0.0314023801173672,-0.0539334100727488,0.13422373381363,-0.0717091189433177,-0.0921254292788237,-0.363644101241372,-0.220007738841706,-0.323037792253718,-0.249368457184098,-0.529753025005335,-0.447120578704624,-0.460601382347905,-0.343728930348694,-0.392559291928827,-0.38503562093195,-0.394630316174824,-0.189098232870303,0.186915964194197,-0.23188080914916,-0.162308033485869,-0.373507734410899,-0.286654761491838,0.118958384987607,0.0744423163581927,-0.033863134174215,-0.081006812523994,0.0023082583844336,-0.0346488637521106,0.194478855143711,-0.285114263180593,-0.352172949088186,-0.541021279432521,-0.214788023820052,-0.0961521630366786,-0.0665250050845314,1229625,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"6",6,"2020-05-02",5898516,1229625,80,0.441633943144213,0.387603853973813,0.178736917740986,0.0735634460019089,-0.0433841097889354,-0.071065151208059,-0.195234278470752,-0.230416763891093,-0.312282763828189,-0.227083929078369,-0.193910167578746,-0.114051282367626,0.00597181549120735,0.219792390414237,0.128920477369848,0.167661914992114,0.0463966603104473,-0.0477854224816167,-0.237309921132446,-0.167741754429839,-0.333658110576539,-0.27004168280264,-0.567871040977366,-0.460273209436825,-0.530320189960371,-0.415919364710782,-0.474083817406764,-0.389324621445807,-0.105639537381969,0.0404474805597427,0.380269228715457,0.116470806776224,0.105579982994933,-0.243626539957415,-0.273420078169107,0.0399628282405591,-0.15679403902454,-0.163969992176854,-0.318644484348614,-0.302589253276093,-0.238902289198999,-0.0647493536337806,-0.307986145590555,-0.363890198596312,-0.384043054445785,-0.233682843794702,0.145740144078121,-0.0797919981414274,1175087,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"7",7,"2020-05-09",7073603,1175087,25,0.172115338112714,0.231219629451007,0.0938498236025137,0.0628597290870639,-0.028244473444291,-0.0188841143213568,-0.183038013188654,-0.275457108131332,-0.375512852869507,-0.392961683364119,-0.147253195856853,-0.0886332068689302,0.0983834366304975,0.17972439272841,0.322781730708599,0.324272113962382,0.211262611209625,0.222960148353544,-0.11780985273933,-0.116317848492045,-0.332737969516299,-0.191403456986914,-0.527760796905937,-0.531655802539049,-0.569607138893661,-0.458800261658594,-0.471050652158419,-0.349171894599818,-0.0718517463683994,0.308273466543484,0.449877874138311,0.18388062962383,0.0593740651891041,-0.233688103259155,-0.428492399765155,0.0927316530161008,-0.382112183176822,-0.255282002013571,-0.449889621898628,-0.416987003060407,-0.29694873933553,-0.163715224633552,-0.284085540776633,-0.465819077566339,-0.425523950648342,-0.363624941355685,-0.0224800788325266,-0.240541953460174,1042249,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"8",8,"2020-05-16",8115852,1042249,25,0.0809709388820041,0.251158096854054,0.142474804683554,0.269821203261578,-0.0941913377889197,-0.158507068752876,-0.226260182456883,-0.128843001414279,-0.0213379439587813,-0.121186792304601,0.0940726736264588,-0.0215685016619787,0.0585879703653631,-0.0809656876700562,0.235755054659394,0.0960645997671099,0.101706669776782,0.273612665452053,0.0328655034376143,-0.0527150369943124,-0.246252279675289,0.0361223723511832,-0.377346750175052,-0.406192451719009,-0.42033439457205,-0.421900620821978,-0.22302252913472,-0.0207586323410033,0.131803059572035,0.5791088778892,0.566553665079709,0.278660440037006,0.0991997180649658,-0.239524330775437,-0.457275128869906,-0.100602189805625,-0.507421927299047,-0.234683758134927,-0.467927059088497,-0.344736761113171,-0.155484456010768,-0.00507656888203884,-0.160220691639067,-0.422668324401159,-0.329221023988326,-0.339737245859349,-0.15128793701553,-0.237882760596312,1015099,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"9",9,"2020-05-23",9130951,1015099,25,0.038814165122483,0.276190119129285,0.198548515796655,0.175165399780768,-0.0011059461891036,-0.226705685206908,-0.297717182180684,-0.197625032949127,-0.00899467912281105,-0.14739886797382,0.0236205852019796,0.085349188165713,0.0892990363920929,-0.185839875423885,0.220920319303907,0.11673698514094,0.0389692975928918,0.250782067458409,-0.0176019303518351,-0.04452542931645,-0.267327097304626,0.0108051569427879,-0.404089166488177,-0.260556775021972,-0.34044763678156,-0.377690726199866,-0.0866029628838967,0.0123270520782841,0.401044620959261,0.701224992028701,0.641719580088704,0.260919565609491,0.159870432395979,-0.28853047089969,-0.409015563655179,-0.131328722086281,-0.425555771335748,-0.221158244216064,-0.467234571884903,-0.247013316264909,0.0547205857220253,0.192340941065891,-0.105818221866579,-0.295477750623645,-0.19209297261428,-0.355612738855759,-0.0918568161570565,-0.284603629753426,986493,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
"10",10,"2020-05-30",10117444,986493,25,-0.0175046344157492,0.154107188213617,0.101866304325398,0.0900520750375876,-0.070521285583797,-0.206621200195642,-0.322716537942995,-0.202109063156769,0.0236479860882835,-0.120922577380658,0.0313020443176351,-0.0874850212812449,0.112435940542946,-0.21753181966462,0.131550133804718,0.0731141474147337,-0.0303836818134334,0.170052111887603,-0.0772983132916837,0.0230726623061987,-0.193298331087201,0.0137232085370123,-0.344150514848477,-0.146200079421013,-0.256367767739679,-0.189392532114537,0.0719636862875525,0.245533617431142,0.49358789969389,0.758723047522371,0.453326926430565,0.306138107403214,0.166132789649634,-0.100691965313512,-0.391555940828076,-0.161515073027774,-0.26088511111493,-0.156662234107327,-0.0206976851300635,-0.282334125998341,0.0868521217344518,0.22836506742688,-0.289522572257161,-0.198220394003845,-0.153015449718057,-0.374805706923047,-0.219474065018768,-0.155958141394226,1007635,1,1,1,0,"Northeast","1_1",1,0,0,0,1,0,0
